player,born,nation,positions,team_count,league_count,season_count,teams,leagues,seasons,player_id,matched_name,match_type,matched_flag,join_player,born_int
Aaron Ciammaglichella,2005.0,ITA,MF,1,1,2,Torino,ITA-Serie A,"2022-23, 2023-24",724108.0,Aaron Ciammaglichella,exact_name_plus_birth_year,True,aaron ciammaglichella,2005
Aaron Connolly,2000.0,IRL,"FW, FW,MF",1,1,3,Brighton,ENG-Premier League,"2019-20, 2020-21, 2021-22",434207.0,Aaron Connolly,exact_name_plus_birth_year,True,aaron connolly,2000
Aaron Cresswell,1989.0,ENG,DF,1,1,6,West Ham United,ENG-Premier League,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",92571.0,Aaron Cresswell,exact_name_plus_birth_year,True,aaron cresswell,1989
Aaron Herzog,1998.0,GER,MF,1,1,1,Gladbach,GER-Bundesliga,2019-20,276566.0,Aaron Herzog,exact_name_plus_birth_year,True,aaron herzog,1998
Aaron Hickey,2002.0,SCO,"DF, DF,MF, MF,DF",2,2,4,"Bologna, Brentford","ENG-Premier League, ITA-Serie A","2020-21, 2021-22, 2022-23, 2023-24",591949.0,Aaron Hickey,exact_name_plus_birth_year,True,aaron hickey,2002
Aaron Kamardin,2002.0,COM,DF,1,1,1,Marseille,FRA-Ligue 1,2020-21,557609.0,Aaron Kamardin,exact_name_plus_birth_year,True,aaron kamardin,2002
Aaron Lennon,1987.0,ENG,"MF, MF,FW",1,1,3,Burnley,ENG-Premier League,"2018-19, 2019-20, 2021-22",14221.0,Aaron Lennon,exact_name_plus_birth_year,True,aaron lennon,1987
Aaron Leya Iseka,1997.0,BEL,FW,2,1,3,"Metz, Toulouse",FRA-Ligue 1,"2018-19, 2019-20, 2020-21",289587.0,Aaron Leya Iseka,exact_name_plus_birth_year,True,aaron leya iseka,1997
Aaron Malouda,2005.0,FRA,FW,1,1,1,Lille,FRA-Ligue 1,2023-24,974996.0,Aaron Malouda,exact_name_plus_birth_year,True,aaron malouda,2005
Aaron Mooy,1990.0,AUS,"MF, MF,FW",2,1,2,"Brighton, Huddersfield Town",ENG-Premier League,"2018-19, 2019-20",123951.0,Aaron Mooy,exact_name_plus_birth_year,True,aaron mooy,1990
Aaron Ramsdale,1998.0,ENG,GK,3,1,5,"Arsenal, Bournemouth, Sheffield United",ENG-Premier League,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",427568.0,Aaron Ramsdale,exact_name_plus_birth_year,True,aaron ramsdale,1998
Aaron Ramsey,1990.0,WAL,"MF, MF,FW",3,3,5,"Arsenal, Juventus, Nice","ENG-Premier League, FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23",50057.0,Aaron Ramsey,exact_name_plus_birth_year,True,aaron ramsey,1990
Aaron Ramsey,2003.0,ENG,MF,2,1,2,"Aston Villa, Burnley",ENG-Premier League,"2021-22, 2023-24",646658.0,Aaron Ramsey,exact_name_plus_birth_year,True,aaron ramsey,2003
Aaron Rowe,2000.0,ENG,MF,1,1,1,Huddersfield Town,ENG-Premier League,2018-19,657994.0,Aaron Rowe,exact_name_plus_birth_year,True,aaron rowe,2000
Aaron Seydel,1996.0,GER,FW,1,1,1,Darmstadt 98,GER-Bundesliga,2023-24,187499.0,Aaron Seydel,exact_name_plus_birth_year,True,aaron seydel,1996
Aaron Wan-Bissaka,1997.0,COD,"DF, DF,MF",2,1,6,"Crystal Palace, Manchester Utd",ENG-Premier League,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",477758.0,Aaron Wan-Bissaka,exact_name_plus_birth_year,True,aaron wan-bissaka,1997
Aaron Zehnter,2004.0,GER,MF,1,1,1,Augsburg,GER-Bundesliga,2022-23,730484.0,Aaron Zehnter,exact_name_plus_birth_year,True,aaron zehnter,2004
Aarón Escandell,1995.0,ESP,GK,2,1,4,"Granada, Las Palmas",ESP-La Liga,"2019-20, 2020-21, 2021-22, 2023-24",284430.0,Aarón Escandell,exact_name_plus_birth_year,True,aarón escandell,1995
Aarón Martín,1997.0,ESP,"DF, DF,MF, MF, MF,DF",3,3,6,"Celta Vigo, Genoa, Mainz 05","ESP-La Liga, GER-Bundesliga, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",251878.0,Aarón Martín,exact_name_plus_birth_year,True,aarón martín,1997
Abakar Sylla,2002.0,CIV,DF,1,1,1,Strasbourg,FRA-Ligue 1,2023-24,962555.0,Abakar Sylla,exact_name_plus_birth_year,True,abakar sylla,2002
Abass Issah,1998.0,GHA,"FW,MF",1,1,2,Mainz 05,GER-Bundesliga,"2018-19, 2020-21",,,,False,abass issah,1998
Abdallah Ali Mohamed,1999.0,COM,DF,1,1,2,Marseille,FRA-Ligue 1,"2018-19, 2019-20",,,,False,abdallah ali mohamed,1999
Abdallah N'dour,1993.0,SEN,"MF,DF",1,1,2,Strasbourg,FRA-Ligue 1,"2018-19, 2019-20",,,,False,abdallah n'dour,1993
Abdallah Sima,2001.0,SEN,FW,1,1,1,Angers,FRA-Ligue 1,2022-23,776798.0,Abdallah Sima,exact_name_plus_birth_year,True,abdallah sima,2001
Abdallahi Mahmoud,2000.0,MTN,MF,1,1,2,Alavés,ESP-La Liga,"2019-20, 2020-21",615636.0,Abdallahi Mahmoud,exact_name_plus_birth_year,True,abdallahi mahmoud,2000
Abde Ezzalzouli,2001.0,MAR,"FW, FW,MF, MF",3,1,3,"Barcelona, Osasuna, Real Betis",ESP-La Liga,"2021-22, 2022-23, 2023-24",724520.0,Abde Ezzalzouli,exact_name_plus_birth_year,True,abde ezzalzouli,2001
Abde Rebbach,1998.0,ALG,MF,1,1,1,Alavés,ESP-La Liga,2023-24,718034.0,Abde Rebbach,exact_name_plus_birth_year,True,abde rebbach,1998
Abdel Abqar,1999.0,MAR,DF,1,1,3,Alavés,ESP-La Liga,"2020-21, 2021-22, 2023-24",559979.0,Abdel Abqar,exact_name_plus_birth_year,True,abdel abqar,1999
Abdel Jalil Medioub,1997.0,ALG,DF,1,1,1,Bordeaux,FRA-Ligue 1,2021-22,,,,False,abdel jalil medioub,1997
Abdel Malik Hsissane,1991.0,FRA,MF,1,1,1,Nîmes,FRA-Ligue 1,2018-19,184145.0,Abdel Malik Hsissane,exact_name_plus_birth_year,True,abdel malik hsissane,1991
Abdelhamid Sabiri,1996.0,MAR,"FW, MF, MF,FW",4,3,5,"Fiorentina, Huddersfield Town, Paderborn 07, Sampdoria","ENG-Premier League, GER-Bundesliga, ITA-Serie A","2018-19, 2019-20, 2021-22, 2022-23, 2023-24",340394.0,Abdelhamid Sabiri,exact_name_plus_birth_year,True,abdelhamid sabiri,1996
Abdellah Baallal,2004.0,MAR,"FW, MF",1,1,1,Clermont Foot,FRA-Ligue 1,2023-24,1028125.0,Abdellah Baallal,exact_name_plus_birth_year,True,abdellah baallal,2004
Abdellah Raihani,2004.0,MAR,FW,1,1,2,Atlético Madrid,ESP-La Liga,"2022-23, 2023-24",,,,False,abdellah raihani,2004
Abdou Diallo,1996.0,SEN,"DF, DF,MF",3,2,5,"Dortmund, Paris Saint-Germain, RB Leipzig","FRA-Ligue 1, GER-Bundesliga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23",229005.0,Abdou Diallo,exact_name_plus_birth_year,True,abdou diallo,1996
Abdou Harroui,1998.0,NED,MF,2,1,3,"Frosinone, Sassuolo",ITA-Serie A,"2021-22, 2022-23, 2023-24",416386.0,Abdou Harroui,exact_name_plus_birth_year,True,abdou harroui,1998
Abdou Lahat Diakhate,1998.0,SEN,MF,1,1,1,Parma,ITA-Serie A,2018-19,,,,False,abdou lahat diakhate,1998
Abdoul Bane,2001.0,ITA,DF,1,1,1,Parma,ITA-Serie A,2020-21,,,,False,abdoul bane,2001
Abdoul Kader Bamba,1994.0,FRA,MF,1,1,4,Nantes,FRA-Ligue 1,"2019-20, 2020-21, 2022-23, 2023-24",560725.0,Abdoul Kader Bamba,exact_name_plus_birth_year,True,abdoul kader bamba,1994
Abdoul Koné,2005.0,FRA,DF,1,1,1,Reims,FRA-Ligue 1,2023-24,1130445.0,Abdoul Koné,exact_name_plus_birth_year,True,abdoul koné,2005
Abdoulay Diaby,1991.0,MLI,"FW,MF",1,1,1,Getafe,ESP-La Liga,2020-21,148396.0,Abdoulay Diaby,exact_name_plus_birth_year,True,abdoulay diaby,1991
Abdoulaye Ba,1991.0,SEN,DF,1,1,1,Rayo Vallecano,ESP-La Liga,2018-19,106837.0,Abdoulaye Ba,exact_name_plus_birth_year,True,abdoulaye ba,1991
Abdoulaye Bakayoko,2002.0,FRA,DF,1,1,2,Saint-Étienne,FRA-Ligue 1,"2020-21, 2021-22",855615.0,Abdoulaye Bakayoko,exact_name_plus_birth_year,True,abdoulaye bakayoko,2002
Abdoulaye Bamba,1990.0,CIV,"DF, DF,MF, MF,DF",1,1,5,Angers,FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23",62351.0,Abdoulaye Bamba,exact_name_plus_birth_year,True,abdoulaye bamba,1990
